OXene 2min F+L,3,7
OXene 2min L+L,4,7
OXene 2min L+N,4,7
OXene 2min N+N,4,7
OXene 2min S+F,3,7
OXene 2min S+S,4,8
OXene 2min SM+L,4,7
OXene 2min SM+SM,3,8
OXene 2min XS+XS,4,8
OXene 2min F+F,4,5
OXene 2min XL+XL,4,6
OXene 2min L+XL,1,5
OXene 2min F+N,4,5
MXene_2 2min F+N,4,5
MXene_2 2min S+F,4,6
MXene_2 2min SM+L,4,7
MXene_2 2min XL+XL,2,6
MXene_2 2min F+F,4,7
MXene_2 2min F+L,3,6
MXene_2 2min L+L,4,8
MXene_2 2min L+N,4,6
MXene_2 2min L+XL,3,5
MXene_2 2min N+N,4,8
MXene_2 2min S+S,4,8
MXene_2 2min SM+SM,3,6
MXene_2 2min XS+XS,3,8
MXene_1 2min XL+XL,2,8
MXene_1 2min XS+XS,4,8
MXene_1 2min SM+SM,3,8
MXene_1 2min S+F,1,8
MXene_1 2min F+F,2,6
MXene_1 2min F+L,3,8
MXene_1 2min F+N,3,8
MXene_1 2min L+L,3,8
MXene_1 2min L+N,2,8
MXene_1 2min L+XL,2,7
MXene_1 2min N+N,2,8
MXene_1 2min S+S,2,6
MXene_1 2min SM+L,4,7
